video_name,terrarium ,treatment,hour ,touches,total_major_movements,foot_flags,foot_flashes
0730_T4,14,B,1,8,131,0,0
0730_T4,14,B,2,2,215,0,0
0730_T4,14,B,3,0,147,0,0
0730_T3,15,B,1,1,35,0,0
0730_T3,15,B,2,2,114,0,0
0730_T3,15,B,3,0,27,0,0
0730_T2,16,A,1,0,77,0,0
0730_T2,16,A,2,0,109,0,0
0730_T2,16,A,3,0,22,0,0
0730_T1,17,A,1,0,53,0,0
0730_T1,17,A,2,0,104,0,0
0730_T1,17,A,3,0,109,0,0
0729_T4,14,A,1,0,97,0,0
0729_T4,14,A,2,0,115,0,0
0729_T4,14,A,3,3,123,0,0
0729_T3,15,A,1,1,126,0,0
0729_T3,15,A,2,8,227,0,0
0729_T3,15,A,3,3,69,0,0
0729_T2,16,B,1,1,128,0,0
0729_T2,16,B,2,2,177,0,0
0729_T2,16,B,3,3,107,0,0
0729_T1,17,B,1,0,127,0,7
0729_T1,17,B,2,5,274,0,0
0729_T1,17,B,3,0,135,0,0
0728_T4,14,B,1,0,115,0,0
0728_T4,14,B,2,2,195,0,0
0728_T4,14,B,3,1,93,0,0
0728_T3,15,B,1,1,52,0,0
0728_T3,15,B,2,5,181,0,0
0728_T3,15,B,3,2,124,0,0
0728_T2,16,A,1,1,70,0,0
0728_T2,16,A,2,2,154,0,0
0728_T2,16,A,3,3,174,1,0
0728_T1,17,A,1,0,72,0,0
0728_T1,17,A,2,0,89,0,0
0728_T1,17,A,3,3,195,0,1
0727_T4,14,A,1,1,165,0,0
0727_T4,14,A,2,0,79,0,0
0727_T4,14,A,3,0,0,0,0
0727_T3,15,A,1,2,67,0,0
0727_T3,15,A,2,10,216,0,0
0727_T3,15,A,3,1,99,0,0
0727_T2,16,B,1,0,96,15,0
0727_T2,16,B,2,0,22,0,0
0727_T2,16,B,3,0,60,0,1
0727_T1,17,B,1,3,180,0,1
0727_T1,17,B,2,0,127,0,0
0727_T1,17,B,3,0,104,0,0
0726_T4,14,B,1,2,92,0,0
0726_T4,14,B,2,4,176,0,0
0726_T4,14,B,3,8,246,0,0
